user_id,ad_creative_quality,time_of_day,click_probability,is_clicked
user_6035,3,1,0.010409304252513065,0
user_3899,2,19,0.09368373827261758,0
user_5005,1,2,0.010409304252513065,0
user_9215,10,8,0.12491165103015679,0
user_6248,7,10,0.06245582551507839,0
user_4414,8,18,0.20818608505026132,0
user_8633,3,1,0.010409304252513065,0
user_7008,8,23,0.12491165103015679,1
user_7246,6,18,0.14573025953518293,0
user_8824,8,7,0.12491165103015679,0
user_1938,4,22,0.14573025953518293,1
user_7545,10,21,0.20818608505026132,0
user_2691,2,6,0.010409304252513065,0
user_5576,5,19,0.14573025953518293,1
user_4852,10,20,0.20818608505026132,1
user_1782,4,10,0.06245582551507839,0
user_8193,4,10,0.06245582551507839,0
user_1877,2,19,0.09368373827261758,0
user_6363,3,12,0.010409304252513065,0
user_8443,6,17,0.06245582551507839,0
user_6331,1,5,0.010409304252513065,0
user_6154,6,2,0.06245582551507839,0
user_3147,6,14,0.06245582551507839,0
user_5906,6,14,0.06245582551507839,0
user_6606,10,1,0.12491165103015679,0
user_8952,1,22,0.09368373827261758,0
user_1546,9,6,0.12491165103015679,0
user_3635,2,19,0.09368373827261758,1
user_7862,7,20,0.14573025953518293,0
user_7319,9,22,0.20818608505026132,0
user_8689,1,19,0.09368373827261758,0
user_6341,5,5,0.06245582551507839,0
user_8923,5,3,0.06245582551507839,0
user_2278,5,8,0.06245582551507839,0
user_7918,6,19,0.14573025953518293,0
user_2190,10,19,0.20818608505026132,1
user_9752,4,12,0.06245582551507839,0
user_2457,4,19,0.14573025953518293,0
user_1054,7,1,0.06245582551507839,0
user_8145,9,6,0.12491165103015679,0
user_8034,4,9,0.06245582551507839,0
user_9482,8,20,0.20818608505026132,0
user_3287,9,5,0.12491165103015679,0
user_4284,6,20,0.14573025953518293,0
user_2287,2,16,0.010409304252513065,0
user_3883,5,12,0.06245582551507839,0
user_1270,6,20,0.14573025953518293,0
user_2959,8,3,0.12491165103015679,0
user_2317,5,20,0.14573025953518293,0
user_10678,1,7,0.010409304252513065,0
user_9888,6,7,0.06245582551507839,0
user_4884,5,7,0.06245582551507839,0
user_9153,4,3,0.06245582551507839,0
user_9386,1,19,0.09368373827261758,0
user_9149,4,20,0.14573025953518293,0
user_5402,8,6,0.12491165103015679,0
user_7916,9,12,0.12491165103015679,0
user_5989,5,11,0.06245582551507839,0
user_5952,8,19,0.20818608505026132,0
user_8828,5,6,0.06245582551507839,0
user_8978,7,5,0.06245582551507839,0
user_3159,6,14,0.06245582551507839,0
user_5169,7,19,0.14573025953518293,0
user_1728,1,21,0.09368373827261758,0
user_3797,3,23,0.010409304252513065,0
user_10326,8,17,0.12491165103015679,0
user_10481,2,19,0.09368373827261758,0
user_7182,9,20,0.20818608505026132,0
user_2980,5,4,0.06245582551507839,0
user_4584,8,20,0.20818608505026132,0
user_3546,7,17,0.06245582551507839,0
user_2554,5,3,0.06245582551507839,0
user_8675,7,21,0.14573025953518293,1
user_4052,5,19,0.14573025953518293,0
user_4980,9,19,0.20818608505026132,0
user_8494,5,23,0.06245582551507839,0
user_5601,6,19,0.14573025953518293,0
user_4835,7,1,0.06245582551507839,0
user_3929,9,20,0.20818608505026132,0
user_4239,5,22,0.14573025953518293,0
user_7255,3,10,0.010409304252513065,0
user_3756,2,18,0.09368373827261758,0
user_3504,4,3,0.06245582551507839,0
user_5222,7,20,0.14573025953518293,0
user_3929,4,8,0.06245582551507839,0
user_10928,10,18,0.20818608505026132,0
user_8187,8,8,0.12491165103015679,0
user_10221,5,18,0.14573025953518293,1
user_3378,7,20,0.14573025953518293,0
user_4648,8,19,0.20818608505026132,0
user_7578,6,16,0.06245582551507839,1
user_10925,9,22,0.20818608505026132,0
user_4012,7,17,0.06245582551507839,0
user_7280,5,2,0.06245582551507839,0
user_5513,8,8,0.12491165103015679,0
user_1145,7,15,0.06245582551507839,1
user_1886,7,19,0.14573025953518293,0
user_2491,2,0,0.010409304252513065,0
user_1250,7,4,0.06245582551507839,0
user_9479,9,6,0.12491165103015679,0
user_1474,2,18,0.09368373827261758,0
user_3693,8,20,0.20818608505026132,0
user_4123,4,0,0.06245582551507839,0
user_10881,2,11,0.010409304252513065,0
user_9187,6,20,0.14573025953518293,0
user_2087,3,11,0.010409304252513065,0
user_7115,3,11,0.010409304252513065,0
user_6320,3,13,0.010409304252513065,0
user_7584,5,16,0.06245582551507839,0
user_6457,5,18,0.14573025953518293,0
user_6637,10,16,0.12491165103015679,0
user_3553,8,11,0.12491165103015679,0
user_2068,9,19,0.20818608505026132,1
user_9391,2,3,0.010409304252513065,0
user_10779,6,6,0.06245582551507839,0
user_1000,6,13,0.06245582551507839,1
user_3982,7,18,0.14573025953518293,0
user_7187,10,17,0.12491165103015679,0
user_7044,1,1,0.010409304252513065,0
user_8826,2,5,0.010409304252513065,0
user_2973,7,20,0.14573025953518293,0
user_2878,6,6,0.06245582551507839,0
user_9150,4,19,0.14573025953518293,0
user_5828,2,20,0.09368373827261758,0
user_1870,3,22,0.09368373827261758,0
user_10295,9,9,0.12491165103015679,0
user_4728,7,18,0.14573025953518293,0
user_10657,2,6,0.010409304252513065,0
user_8954,5,19,0.14573025953518293,0
user_5921,5,19,0.14573025953518293,1
user_4134,1,10,0.010409304252513065,0
user_5761,4,22,0.14573025953518293,0
user_8522,5,19,0.14573025953518293,0
user_3909,6,1,0.06245582551507839,0
user_1492,2,0,0.010409304252513065,0
user_9918,9,21,0.20818608505026132,0
user_6391,5,11,0.06245582551507839,0
user_6667,5,17,0.06245582551507839,0
user_4964,9,8,0.12491165103015679,0
user_2417,10,20,0.20818608505026132,0
user_3373,9,16,0.12491165103015679,0
user_7174,3,14,0.010409304252513065,0
user_10072,1,18,0.09368373827261758,0
user_5365,4,17,0.06245582551507839,0
user_2248,4,9,0.06245582551507839,0
user_9203,4,8,0.06245582551507839,0
user_5001,7,7,0.06245582551507839,0
user_1957,5,20,0.14573025953518293,0
user_1497,8,21,0.20818608505026132,0
user_6502,8,19,0.20818608505026132,0
user_10268,2,11,0.010409304252513065,0
user_8421,2,16,0.010409304252513065,0
user_4474,3,21,0.09368373827261758,0
user_3351,2,1,0.010409304252513065,0
user_2382,7,21,0.14573025953518293,0
user_6429,2,22,0.09368373827261758,0
user_10720,3,9,0.010409304252513065,0
user_5417,2,16,0.010409304252513065,0
user_8531,10,5,0.12491165103015679,0
user_5085,4,9,0.06245582551507839,0
user_7602,4,3,0.06245582551507839,1
user_10244,10,20,0.20818608505026132,1
user_10255,6,11,0.06245582551507839,0
user_7807,3,19,0.09368373827261758,0
user_7986,2,10,0.010409304252513065,0
user_5489,4,21,0.14573025953518293,0
user_3523,5,0,0.06245582551507839,0
user_9249,4,15,0.06245582551507839,0
user_9838,8,21,0.20818608505026132,0
user_8555,4,7,0.06245582551507839,0
user_1462,3,12,0.010409304252513065,0
user_1672,2,4,0.010409304252513065,0
user_10876,1,9,0.010409304252513065,0
user_10698,8,1,0.12491165103015679,1
user_5225,4,22,0.14573025953518293,0
user_5805,9,21,0.20818608505026132,0
user_3149,2,19,0.09368373827261758,0
user_8677,4,23,0.06245582551507839,0
user_9956,4,20,0.14573025953518293,0
user_3946,6,19,0.14573025953518293,0
user_8216,5,19,0.14573025953518293,0
user_4935,2,21,0.09368373827261758,0
user_8020,7,19,0.14573025953518293,0
user_3711,8,20,0.20818608505026132,1
user_3502,9,14,0.12491165103015679,0
user_8556,1,18,0.09368373827261758,1
user_2425,6,22,0.14573025953518293,0
user_9226,3,13,0.010409304252513065,0
user_1093,1,17,0.010409304252513065,0
user_6217,7,7,0.06245582551507839,0
user_6717,7,6,0.06245582551507839,1
user_10759,1,0,0.010409304252513065,0
user_1783,6,16,0.06245582551507839,0
user_9521,4,11,0.06245582551507839,0
user_10487,5,20,0.14573025953518293,1
user_5672,1,8,0.010409304252513065,0
user_6948,2,2,0.010409304252513065,0
user_2964,7,2,0.06245582551507839,0
user_7587,1,23,0.010409304252513065,0
user_8688,7,5,0.06245582551507839,0
user_10903,3,19,0.09368373827261758,0
user_6748,6,19,0.14573025953518293,0
user_5702,1,18,0.09368373827261758,1
user_8821,5,7,0.06245582551507839,0
user_10989,3,20,0.09368373827261758,0
user_5741,2,17,0.010409304252513065,0
user_4071,9,22,0.20818608505026132,0
user_9553,2,16,0.010409304252513065,0
user_3191,10,20,0.20818608505026132,1
user_5466,1,20,0.09368373827261758,0
user_2777,6,2,0.06245582551507839,0
user_7724,10,10,0.12491165103015679,0
user_8447,6,8,0.06245582551507839,0
user_8806,6,21,0.14573025953518293,0
user_8899,5,1,0.06245582551507839,0
user_4552,2,18,0.09368373827261758,0
user_8525,5,9,0.06245582551507839,0
user_4348,9,18,0.20818608505026132,0
user_1165,10,22,0.20818608505026132,0
user_4570,1,12,0.010409304252513065,0
user_9174,4,20,0.14573025953518293,0
user_1633,8,20,0.20818608505026132,0
user_4836,2,22,0.09368373827261758,0
user_8285,5,19,0.14573025953518293,0
user_7246,5,3,0.06245582551507839,0
user_8516,4,1,0.06245582551507839,0
user_3513,10,21,0.20818608505026132,0
user_6150,6,18,0.14573025953518293,0
user_6744,9,13,0.12491165103015679,1
user_5463,3,17,0.010409304252513065,0
user_1893,2,15,0.010409304252513065,0
user_9583,6,6,0.06245582551507839,0
user_4419,5,4,0.06245582551507839,0
user_7134,6,9,0.06245582551507839,0
user_6054,9,6,0.12491165103015679,0
user_10034,8,20,0.20818608505026132,0
user_6229,7,11,0.06245582551507839,0
user_5162,3,20,0.09368373827261758,0
user_7477,9,21,0.20818608505026132,0
user_10588,4,21,0.14573025953518293,0
user_10767,4,14,0.06245582551507839,0
user_5162,6,0,0.06245582551507839,0
user_1065,9,21,0.20818608505026132,0
user_10831,3,11,0.010409304252513065,0
user_2930,8,20,0.20818608505026132,0
user_8843,7,20,0.14573025953518293,0
user_2384,4,20,0.14573025953518293,0
user_6485,7,19,0.14573025953518293,0
user_3408,4,19,0.14573025953518293,0
user_8985,5,11,0.06245582551507839,0
user_1321,9,13,0.12491165103015679,0
user_10763,10,14,0.12491165103015679,0
user_5738,4,20,0.14573025953518293,0
user_2041,6,12,0.06245582551507839,0
user_1208,3,16,0.010409304252513065,0
user_9419,3,2,0.010409304252513065,0
user_9280,10,18,0.20818608505026132,1
user_1275,1,0,0.010409304252513065,0
user_9843,1,14,0.010409304252513065,0
user_10445,7,11,0.06245582551507839,0
user_5888,5,23,0.06245582551507839,0
user_10848,1,1,0.010409304252513065,0
user_6758,7,23,0.06245582551507839,0
user_7361,1,21,0.09368373827261758,1
user_10820,3,20,0.09368373827261758,0
user_1672,6,19,0.14573025953518293,0
user_10693,6,20,0.14573025953518293,0
user_6024,3,7,0.010409304252513065,0
user_10685,10,15,0.12491165103015679,0
user_2228,3,20,0.09368373827261758,0
user_7432,9,20,0.20818608505026132,0
user_3018,10,18,0.20818608505026132,0
user_10067,2,18,0.09368373827261758,0
user_6303,5,15,0.06245582551507839,0
user_4001,6,5,0.06245582551507839,0
user_5399,9,13,0.12491165103015679,0
user_5462,8,18,0.20818608505026132,0
user_2611,6,2,0.06245582551507839,0
user_8778,5,18,0.14573025953518293,1
user_8795,9,20,0.20818608505026132,0
user_5153,6,12,0.06245582551507839,0
user_6032,1,18,0.09368373827261758,0
user_3939,8,19,0.20818608505026132,0
user_4175,8,19,0.20818608505026132,0
user_3268,4,18,0.14573025953518293,1
user_9351,4,20,0.14573025953518293,1
user_8265,3,11,0.010409304252513065,0
user_5477,7,15,0.06245582551507839,0
user_10476,3,17,0.010409304252513065,0
user_3580,7,12,0.06245582551507839,0
user_7288,8,18,0.20818608505026132,0
user_3235,1,22,0.09368373827261758,1
user_10456,9,11,0.12491165103015679,0
user_3493,2,19,0.09368373827261758,0
user_5379,8,2,0.12491165103015679,1
user_7556,4,10,0.06245582551507839,0
user_3061,9,21,0.20818608505026132,0
user_5642,9,18,0.20818608505026132,0
user_3497,5,12,0.06245582551507839,0
user_1165,10,11,0.12491165103015679,0
user_7634,3,3,0.010409304252513065,0
user_9695,5,20,0.14573025953518293,0
user_3562,1,21,0.09368373827261758,0
user_7939,6,21,0.14573025953518293,0
user_2866,5,23,0.06245582551507839,0
user_1294,5,17,0.06245582551507839,0
user_7113,6,21,0.14573025953518293,0
user_7260,10,23,0.12491165103015679,0
user_4784,2,7,0.010409304252513065,0
user_7880,7,20,0.14573025953518293,0
user_6732,6,21,0.14573025953518293,0
user_6622,9,13,0.12491165103015679,0
user_2368,3,2,0.010409304252513065,0
user_10238,1,4,0.010409304252513065,0
user_3973,4,19,0.14573025953518293,0
user_2325,10,14,0.12491165103015679,1
user_7532,2,18,0.09368373827261758,1
user_6790,9,7,0.12491165103015679,0
user_3973,9,11,0.12491165103015679,0
user_3140,1,1,0.010409304252513065,0
user_10070,10,22,0.20818608505026132,0
user_3849,2,22,0.09368373827261758,0
user_10245,6,3,0.06245582551507839,0
user_9524,3,22,0.09368373827261758,0
user_10506,7,18,0.14573025953518293,0
user_1752,3,23,0.010409304252513065,0
user_9937,3,1,0.010409304252513065,0
user_7451,1,18,0.09368373827261758,0
user_1276,9,19,0.20818608505026132,0
user_5186,6,0,0.06245582551507839,0
user_1798,5,4,0.06245582551507839,0
user_9336,6,4,0.06245582551507839,0
user_9125,4,23,0.06245582551507839,0
user_6788,1,8,0.010409304252513065,0
user_2535,5,11,0.06245582551507839,0
user_1356,4,19,0.14573025953518293,1
user_8718,8,18,0.20818608505026132,0
user_2210,5,21,0.14573025953518293,1
user_10485,1,0,0.010409304252513065,0
user_8453,1,20,0.09368373827261758,0
user_8271,4,11,0.06245582551507839,0
user_4609,10,12,0.12491165103015679,0
user_6372,1,18,0.09368373827261758,0
user_5241,3,0,0.010409304252513065,0
user_1232,2,21,0.09368373827261758,0
user_6328,7,2,0.06245582551507839,0
user_3753,5,16,0.06245582551507839,0
user_5197,9,6,0.12491165103015679,0
user_6037,3,3,0.010409304252513065,0
user_1052,2,10,0.010409304252513065,0
user_2213,9,11,0.12491165103015679,0
user_1422,5,11,0.06245582551507839,0
user_10743,3,22,0.09368373827261758,0
user_7991,5,7,0.06245582551507839,0
user_6857,1,22,0.09368373827261758,0
user_4459,10,14,0.12491165103015679,0
user_6467,2,18,0.09368373827261758,0
user_3687,5,5,0.06245582551507839,1
user_8169,2,2,0.010409304252513065,0
user_9775,8,6,0.12491165103015679,0
user_9165,7,13,0.06245582551507839,0
user_3925,5,19,0.14573025953518293,0
user_6848,10,12,0.12491165103015679,0
user_7357,9,0,0.12491165103015679,0
user_5355,7,12,0.06245582551507839,0
user_7223,2,9,0.010409304252513065,0
user_6218,7,9,0.06245582551507839,1
user_5748,3,8,0.010409304252513065,0
user_3863,9,10,0.12491165103015679,0
user_4089,10,5,0.12491165103015679,0
user_4418,7,22,0.14573025953518293,0
user_10630,2,19,0.09368373827261758,0
user_10618,4,20,0.14573025953518293,0
user_1648,4,18,0.14573025953518293,0
user_10531,10,18,0.20818608505026132,1
